ROUGE_1,ROUGE_2,ROUGE_3,BLEU_1,BLEU_2,BLEU_3,F1_1,F1_2,F1_3
57.8,18.52,6.54,38.51,12.93,4.79,46.23,15.22,5.53
65.55,13.56,0.85,23.88,5.0,0.5,35.01,7.31,0.63
55.48,22.73,12.42,26.34,10.31,6.31,35.72,14.19,8.36
60.66,28.1,7.5,30.67,13.42,4.73,40.74,18.17,5.8
58.54,31.15,19.83,34.32,19.64,13.77,43.27,24.09,16.26
34.3,4.09,1.18,22.96,2.56,0.52,27.51,3.15,0.72
80.73,33.33,13.08,37.7,16.32,6.35,51.4,21.91,8.55
49.55,13.64,5.5,20.79,6.97,3.0,29.29,9.22,3.88
37.25,6.93,3.0,25.64,6.03,2.61,30.38,6.45,2.79
33.9,5.17,1.75,22.97,4.11,1.39,27.39,4.58,1.55
66.09,34.21,16.81,56.79,30.0,16.46,61.09,31.97,16.63
47.86,6.9,0.87,27.61,4.94,0.62,35.02,5.76,0.72
64.88,19.76,5.42,34.72,12.09,4.21,45.24,15.0,4.74
42.57,4.76,0.68,24.42,2.92,0.59,31.03,3.62,0.63
60.0,26.17,10.81,35.64,14.93,7.5,44.72,19.01,8.86
60.9,23.23,10.39,41.86,20.31,11.02,49.62,21.67,10.7
47.62,12.5,0.97,26.57,5.63,0.71,34.11,7.77,0.82
42.86,5.45,0.0,19.27,1.85,0.0,26.58,2.76,0.0
49.06,15.24,7.69,30.33,9.92,5.83,37.48,12.02,6.64
34.92,9.6,4.03,27.59,9.57,4.39,30.82,9.58,4.2
38.24,11.94,0.0,18.0,5.05,0.0,24.48,7.1,0.0
40.96,3.66,0.0,35.94,4.76,0.0,38.29,4.14,0.0
60.0,24.53,13.92,46.2,22.29,14.1,52.21,23.36,14.01
39.69,7.69,0.0,20.62,5.18,0.0,27.14,6.19,0.0
