ROUGE_1,ROUGE_2,ROUGE_3,BLEU_1,BLEU_2,BLEU_3,F1_1,F1_2,F1_3
61.47,22.22,7.48,30.41,11.92,4.17,40.69,15.51,5.35
42.86,18.18,9.26,22.86,9.62,4.85,29.81,12.58,6.37
65.55,25.42,9.4,30.53,12.89,4.46,41.66,17.11,6.05
55.88,35.82,22.73,23.31,14.81,9.32,32.9,20.96,13.22
54.63,14.95,7.55,30.71,10.79,5.8,39.32,12.54,6.56
61.29,18.18,7.84,27.49,8.62,3.81,37.96,11.7,5.13
57.14,16.55,6.52,30.4,9.24,3.63,39.69,11.86,4.66
66.39,28.93,10.0,30.97,12.0,4.91,42.24,16.96,6.59
64.17,14.29,0.85,31.22,7.27,0.46,42.0,9.64,0.59
55.12,11.9,0.0,22.08,5.86,0.0,31.53,7.85,0.0
62.6,18.03,5.79,19.77,6.03,2.02,30.05,9.04,2.99
62.61,19.3,1.77,32.8,10.27,1.09,43.04,13.41,1.35
50.0,8.79,1.11,24.22,5.0,0.63,32.64,6.37,0.8
44.09,14.29,2.4,36.43,12.23,2.17,39.9,13.18,2.28
30.61,8.33,0.0,18.42,5.33,0.0,23.0,6.5,0.0
34.88,11.76,3.57,25.86,8.7,2.63,29.7,10.0,3.03
61.02,18.97,5.26,37.21,12.94,3.57,46.23,15.38,4.26
47.67,9.94,2.94,30.84,6.57,2.36,37.45,7.91,2.62
54.55,18.37,10.31,34.95,14.71,8.91,42.6,16.33,9.56
47.54,21.67,16.95,31.08,15.07,12.5,37.59,17.78,14.39
55.96,15.74,3.74,22.71,7.77,1.95,32.3,10.4,2.56
57.66,20.91,10.09,15.66,5.79,3.04,24.63,9.06,4.67
48.81,18.07,3.66,26.71,8.28,2.08,34.53,11.35,2.65
75.36,44.53,26.47,39.76,22.58,13.77,52.06,29.96,18.11
28.04,6.6,3.81,41.86,11.9,7.32,33.58,8.5,5.01
78.72,48.39,25.0,33.33,20.62,11.92,46.84,28.92,16.14
64.17,25.81,12.97,44.98,19.23,9.66,52.89,22.04,11.08
60.0,13.83,1.08,30.86,6.83,0.62,40.76,9.15,0.79
34.71,12.5,6.72,15.27,5.75,3.08,21.21,7.87,4.22
74.8,40.98,23.97,28.15,14.95,9.33,40.9,21.91,13.43
51.96,10.89,1.0,27.68,5.68,0.57,36.12,7.47,0.73
44.44,27.5,24.05,28.93,18.33,15.97,35.04,22.0,19.19
52.63,28.72,20.43,30.56,16.78,13.38,38.66,21.19,16.17
53.97,17.6,2.42,21.82,5.84,1.1,31.07,8.77,1.51
33.33,10.0,1.83,35.0,11.39,1.28,34.15,10.65,1.51
64.35,35.96,21.24,43.15,26.21,16.67,51.66,30.32,18.68
