ROUGE_1,ROUGE_2,ROUGE_3,BLEU_1,BLEU_2,BLEU_3,F1_1,F1_2,F1_3
61.47,22.22,7.48,30.41,11.92,4.17,40.69,15.51,5.35
65.55,25.42,9.4,30.53,12.89,4.46,41.66,17.11,6.05
61.29,18.18,7.84,27.49,8.62,3.81,37.96,11.7,5.13
66.39,28.93,10.0,30.97,12.0,4.91,42.24,16.96,6.59
62.6,18.03,5.79,19.77,6.03,2.02,30.05,9.04,2.99
47.67,9.94,2.94,30.84,6.57,2.36,37.45,7.91,2.62
55.96,15.74,3.74,22.71,7.77,1.95,32.3,10.4,2.56
57.66,20.91,10.09,15.66,5.79,3.04,24.63,9.06,4.67
51.96,10.89,1.0,27.68,5.68,0.57,36.12,7.47,0.73
33.9,3.45,0.0,21.11,2.25,0.0,26.02,2.72,0.0
64.35,35.96,21.24,43.15,26.21,16.67,51.66,30.32,18.68
50.43,6.03,0.87,22.94,3.04,0.44,31.54,4.05,0.58
62.5,26.95,15.66,17.74,8.33,4.82,27.64,12.73,7.38
53.38,7.48,2.05,15.2,2.43,0.66,23.66,3.67,1.0
74.67,42.28,27.7,34.5,19.46,14.45,47.19,26.65,19.0
40.38,10.32,3.9,28.92,9.09,3.05,33.7,9.67,3.42
53.33,17.31,3.88,24.74,7.77,1.56,33.8,10.73,2.23
50.0,12.73,1.85,19.57,4.38,0.74,28.12,6.52,1.05
57.55,24.76,18.27,32.4,14.61,10.73,41.46,18.37,13.52
40.48,4.8,0.81,19.15,2.56,0.43,26.0,3.34,0.56
80.88,44.78,27.27,31.68,15.62,11.32,45.52,23.17,16.0
53.01,21.95,9.88,43.48,18.68,7.78,47.77,20.18,8.7
68.75,38.99,24.68,35.34,18.79,12.46,46.68,25.36,16.56
55.73,18.46,4.65,18.3,5.05,1.07,27.55,7.93,1.74
