ROUGE_1,ROUGE_2,ROUGE_3,BLEU_1,BLEU_2,BLEU_3,F1_1,F1_2,F1_3
61.47,22.22,7.48,30.41,11.92,4.17,40.69,15.51,5.35
42.86,18.18,9.26,22.86,9.62,4.85,29.81,12.58,6.37
63.87,28.81,14.53,31.8,14.35,6.98,42.46,19.16,9.43
52.94,32.84,19.7,21.69,13.33,7.93,30.77,18.97,11.3
54.63,14.95,7.55,30.71,10.79,5.8,39.32,12.54,6.56
69.68,32.47,20.26,26.18,12.01,7.56,38.06,17.54,11.01
57.14,16.55,6.52,30.4,9.24,3.63,39.69,11.86,4.66
67.21,28.93,10.0,30.87,11.35,4.82,42.31,16.31,6.51
64.17,14.29,0.85,31.22,7.27,0.46,42.0,9.64,0.59
56.69,12.7,0.8,23.43,6.3,0.42,33.16,8.42,0.55
