ROUGE_1,ROUGE_2,ROUGE_3,BLEU_1,BLEU_2,BLEU_3,F1_1,F1_2,F1_3
61.47,22.22,7.48,30.41,11.92,4.17,40.69,15.51,5.35
63.87,28.81,14.53,31.8,14.35,6.98,42.46,19.16,9.43
69.68,32.47,20.26,26.18,12.01,7.56,38.06,17.54,11.01
67.21,28.93,10.0,30.87,11.35,4.82,42.31,16.31,6.51
62.6,18.03,5.79,19.77,6.03,2.02,30.05,9.04,2.99
47.67,9.94,2.94,30.84,6.57,2.36,37.45,7.91,2.62
55.96,15.74,3.74,22.71,7.77,1.95,32.3,10.4,2.56
57.66,20.91,10.09,15.66,5.79,3.04,24.63,9.06,4.67
51.96,10.89,1.0,27.68,5.68,0.57,36.12,7.47,0.73
28.81,3.45,0.0,13.01,1.64,0.0,17.92,2.22,0.0
63.48,35.96,21.24,44.76,26.76,17.02,52.5,30.69,18.9
50.43,6.03,0.87,22.94,3.04,0.44,31.54,4.05,0.58
64.88,29.94,18.07,17.93,9.07,5.38,28.1,13.93,8.29
52.03,6.12,1.37,17.71,2.58,0.57,26.43,3.63,0.81
78.0,45.64,30.41,36.23,21.21,15.59,49.47,28.96,20.61
42.95,11.61,5.19,32.67,10.74,4.05,37.11,11.16,4.55
54.29,16.35,3.88,26.02,7.18,1.55,35.18,9.98,2.21
50.0,12.73,1.85,19.57,4.38,0.74,28.12,6.52,1.05
54.72,27.62,18.27,29.17,15.18,10.0,38.05,19.59,12.93
40.48,4.0,0.0,18.44,2.06,0.0,25.34,2.72,0.0
80.88,44.78,27.27,31.68,15.62,11.32,45.52,23.17,16.0
54.22,21.95,9.88,51.76,21.43,9.64,52.96,21.69,9.76
68.12,35.22,20.89,32.42,15.75,9.97,43.94,21.77,13.49
56.49,18.46,4.65,18.97,5.16,1.09,28.4,8.07,1.77
