ROUGE_1,ROUGE_2,ROUGE_3,BLEU_1,BLEU_2,BLEU_3,F1_1,F1_2,F1_3
66.97,24.07,8.41,26.15,9.65,3.49,37.62,13.78,4.93
58.93,25.45,9.26,19.75,7.69,2.58,29.58,11.81,4.04
69.75,25.42,8.55,19.38,6.22,2.08,30.33,9.99,3.34
66.18,37.31,24.24,23.66,13.51,8.7,34.85,19.84,12.8
63.89,19.63,8.49,28.78,9.31,3.94,39.68,12.63,5.38
61.29,20.78,13.07,19.57,6.78,3.88,29.66,10.22,5.99
64.29,27.34,12.32,26.86,12.06,6.05,37.88,16.73,8.11
62.3,13.22,1.67,19.69,4.7,0.63,29.92,6.94,0.91
67.5,19.33,5.08,23.01,5.92,1.48,34.32,9.06,2.3
43.31,8.73,2.4,14.7,3.96,1.08,21.94,5.45,1.49
