ROUGE_1,ROUGE_2,ROUGE_3,BLEU_1,BLEU_2,BLEU_3,F1_1,F1_2,F1_3
66.97,24.07,8.41,26.15,9.65,3.49,37.62,13.78,4.93
58.93,25.45,9.26,19.75,7.69,2.58,29.58,11.81,4.04
69.75,25.42,8.55,19.38,6.22,2.08,30.33,9.99,3.34
66.18,37.31,24.24,23.66,13.51,8.7,34.85,19.84,12.8
63.89,19.63,8.49,28.78,9.31,3.94,39.68,12.63,5.38
61.29,20.78,13.07,19.57,6.78,3.88,29.66,10.22,5.99
64.29,27.34,12.32,26.86,12.06,6.05,37.88,16.73,8.11
62.3,13.22,1.67,19.69,4.7,0.63,29.92,6.94,0.91
67.5,19.33,5.08,23.01,5.92,1.48,34.32,9.06,2.3
43.31,8.73,2.4,14.7,3.96,1.08,21.94,5.45,1.49
64.23,18.85,5.79,17.56,5.62,1.72,27.58,8.66,2.65
51.3,12.28,0.0,18.82,3.15,0.0,27.54,5.01,0.0
56.52,9.89,0.0,19.29,4.08,0.0,28.76,5.78,0.0
14.96,3.17,0.8,7.04,1.89,0.47,9.58,2.37,0.6
42.86,8.33,0.0,20.43,4.35,0.0,27.67,5.71,0.0
26.74,5.88,2.38,18.03,4.13,1.67,21.54,4.85,1.96
66.1,29.31,10.53,39.78,17.39,6.59,49.67,21.83,8.11
63.37,23.98,12.35,35.66,12.92,7.04,45.64,16.79,8.97
35.35,8.16,2.06,14.01,3.85,0.65,20.07,5.23,0.98
54.1,30.0,22.03,21.88,14.17,10.32,31.15,19.25,14.05
77.06,39.81,25.23,17.88,8.63,5.76,29.03,14.18,9.39
63.06,23.64,11.01,14.12,5.48,2.75,23.08,8.9,4.4
65.48,22.89,4.88,21.25,6.69,1.68,32.09,10.36,2.5
75.36,45.26,25.0,34.64,19.71,10.79,47.47,27.46,15.08
27.1,7.55,2.86,42.22,11.36,4.65,33.01,9.07,3.54
47.87,11.83,1.09,15.96,4.25,0.47,23.94,6.25,0.66
68.45,25.81,12.97,33.11,11.84,5.94,44.64,16.23,8.15
57.89,7.45,1.08,16.93,3.72,0.53,26.2,4.96,0.71
38.84,12.5,6.72,12.53,4.19,2.24,18.95,6.28,3.36
70.73,34.43,19.83,22.1,10.8,6.67,33.68,16.45,9.98
50.98,8.91,1.0,16.91,3.25,0.36,25.39,4.76,0.53
32.1,6.25,2.53,18.46,3.1,0.78,23.44,4.15,1.19
58.95,34.04,25.81,26.56,16.75,12.63,36.62,22.46,16.96
54.76,15.2,3.23,16.36,4.56,1.22,25.2,7.01,1.77
40.54,11.82,2.75,16.91,5.34,0.98,23.86,7.36,1.44
68.7,40.35,19.47,29.65,14.14,5.08,41.42,20.94,8.05
