ROUGE_1,ROUGE_2,ROUGE_3,BLEU_1,BLEU_2,BLEU_3,F1_1,F1_2,F1_3
66.97,24.07,8.41,26.15,9.65,3.49,37.62,13.78,4.93
69.75,25.42,8.55,19.38,6.22,2.08,30.33,9.99,3.34
61.29,20.78,13.07,19.57,6.78,3.88,29.66,10.22,5.99
62.3,13.22,1.67,19.69,4.7,0.63,29.92,6.94,0.91
64.23,18.85,5.79,17.56,5.62,1.72,27.58,8.66,2.65
63.37,23.98,12.35,35.66,12.92,7.04,45.64,16.79,8.97
77.06,39.81,25.23,17.88,8.63,5.76,29.03,14.18,9.39
63.06,23.64,11.01,14.12,5.48,2.75,23.08,8.9,4.4
50.98,8.91,1.0,16.91,3.25,0.36,25.39,4.76,0.53
38.98,1.72,0.0,12.21,0.58,0.0,18.59,0.87,0.0
68.7,40.35,19.47,29.65,14.14,5.08,41.42,20.94,8.05
49.57,5.17,0.87,18.28,2.16,0.36,26.71,3.05,0.51
65.48,23.95,9.64,13.1,4.84,2.04,21.84,8.05,3.37
49.32,6.12,2.05,12.35,1.83,0.61,19.75,2.81,0.94
80.0,44.97,27.7,32.9,18.45,12.01,46.63,26.16,16.76
61.54,30.97,19.48,39.13,23.75,17.61,47.84,26.88,18.5
64.76,24.04,0.0,17.23,4.94,0.0,27.22,8.19,0.0
58.93,12.73,1.85,14.62,2.84,0.48,23.43,4.65,0.76
60.38,14.29,4.81,21.03,5.19,1.74,31.2,7.61,2.55
42.86,4.0,0.81,13.03,1.31,0.33,19.98,1.97,0.47
66.18,28.36,16.67,25.15,9.88,6.83,36.45,14.65,9.69
46.99,17.07,7.41,28.7,10.53,4.42,35.63,13.02,5.54
61.88,22.01,9.49,24.26,8.9,4.46,34.85,12.68,6.07
48.09,13.85,2.33,10.0,2.66,0.41,16.56,4.46,0.7
